branch,species,species_code,grain,predictor,relative_contribution,relative_contribution_pct,raw_contribution,n_kept_models,n_algorithms,n_input_predictors,n_candidate_models,n_kept_models_total,n_kept_algorithms,sum_effective_model_weights,source_file
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,bedrock,0.05267746839089474,5.267746839089474,0.05267746839089474,45,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,TWI,0.04994744278130941,4.99474427813094,0.04994744278130941,44,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,landcover,0.044830294597640305,4.4830294597640306,0.044830294597640305,39,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,eastness,0.04466023175233109,4.466023175233109,0.04466023175233109,41,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,HLI,0.03508704539556299,3.508704539556299,0.03508704539556299,41,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,1000,northness,0.03164892412303157,3.1648924123031574,0.03164892412303157,35,5,14,546,375,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/1000/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bio14,0.11733108240905474,11.733108240905473,0.11733108240905474,65,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,landcover,0.11164443021309621,11.164443021309621,0.11164443021309621,64,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bio12,0.10266006147018109,10.266006147018109,0.10266006147018109,65,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bio06,0.09665472649921515,9.665472649921515,0.09665472649921515,65,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,depth_to_bedrock,0.08540512278953942,8.540512278953942,0.08540512278953942,64,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,soil_water_cap,0.0771417255194552,7.71417255194552,0.0771417255194552,65,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,dem_range,0.07400727245570383,7.400727245570383,0.07400727245570383,61,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bedrock,0.0577740326840552,5.77740326840552,0.0577740326840552,55,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,HLI,0.056808573931448246,5.680857393144825,0.056808573931448246,58,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,bio07,0.052550179434846765,5.255017943484677,0.052550179434846765,59,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,TWI,0.048171679116758966,4.817167911675897,0.048171679116758966,53,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,TPI,0.04451196640070548,4.451196640070548,0.04451196640070548,50,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,eastness,0.03890126093434999,3.8901260934349993,0.03890126093434999,43,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,200,northness,0.03643788614158971,3.6437886141589706,0.03643788614158971,45,5,14,546,406,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/200/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,500,bio14,0.1099934239226424,10.99934239226424,0.1099934239226424,60,5,13,468,382,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
recent_noextrapol_weights_all_selected,Gentiana dinarica,GD,500,bio12,0.09712751769382473,9.712751769382473,0.09712751769382473,60,5,13,468,382,5,1,/auto/brno2/brno2/zbubster/diplomka/models/ESM/recent_noextrapol_weights_all_selected/GD/500/esm_fit_bivariate.rds
